CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
"One-Class SVM: {'gamma': 0.001, 'kernel': 'rbf', 'nu': 0.01}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019953250885009766,0.001993894577026367
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'leaf_size': 15, 'metric': 'braycurtis', 'n_neighbors': 5, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019941329956054688,0.004988431930541992
"One-Class SVM: {'gamma': 'auto', 'kernel': 'sigmoid', 'nu': 0.01}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019953250885009766,0.0009975433349609375
"One-Class SVM: {'gamma': 0.01, 'kernel': 'linear', 'nu': 0.01}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.000997781753540039,0.001994609832763672
"One-Class SVM: {'gamma': 0.01, 'kernel': 'rbf', 'nu': 0.001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019948482513427734,0.0029916763305664062
"One-Class SVM: {'gamma': 'auto', 'kernel': 'sigmoid', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.000997781753540039,0.0019941329956054688
"One-Class SVM: {'gamma': 'auto', 'kernel': 'sigmoid', 'nu': 0.5}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009982585906982422,0.0029909610748291016
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 15, 'metric': 'braycurtis', 'n_neighbors': 5, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001995086669921875,0.003989219665527344
"One-Class SVM: {'gamma': 'scale', 'kernel': 'linear', 'nu': 0.0001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009970664978027344,0.0019953250885009766
"One-Class SVM: {'gamma': 'scale', 'kernel': 'linear', 'nu': 0.001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009982585906982422,0.0009968280792236328
"One-Class SVM: {'gamma': 'scale', 'kernel': 'linear', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009975433349609375,0.001993894577026367
"One-Class SVM: {'gamma': 'scale', 'kernel': 'linear', 'nu': 0.5}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0015285015106201172,0.003989219665527344
"One-Class SVM: {'gamma': 0.01, 'kernel': 'linear', 'nu': 0.5}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009984970092773438,0.0009975433349609375
"One-Class SVM: {'gamma': 0.01, 'kernel': 'linear', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001992940902709961,0.0029935836791992188
"One-Class SVM: {'gamma': 0.01, 'kernel': 'linear', 'nu': 0.001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001995563507080078,0.0009965896606445312
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 30, 'metric': 'correlation', 'n_neighbors': 15, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001994609832763672,0.0029916763305664062
"One-Class SVM: {'gamma': 0.01, 'kernel': 'linear', 'nu': 0.0001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009975433349609375,0.0009965896606445312
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 45, 'metric': 'correlation', 'n_neighbors': 10, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.005984306335449219,0.004986286163330078
"One-Class SVM: {'gamma': 0.001, 'kernel': 'sigmoid', 'nu': 0.5}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019865036010742188,0.0015118122100830078
"One-Class SVM: {'gamma': 0.001, 'kernel': 'sigmoid', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009975433349609375,0.001994609832763672
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.01, 'leaf_size': 15, 'metric': 'correlation', 'n_neighbors': 10, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019953250885009766,0.001994609832763672
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'leaf_size': 30, 'metric': 'correlation', 'n_neighbors': 5, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.015957355499267578,0.003989696502685547
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 30, 'metric': 'correlation', 'n_neighbors': 10, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0029909610748291016,0.005983829498291016
